Store_ID,MAE,MAPE,sMAPE,MASE,RMSE
1,412.6041666666667,0.10619699664232207,0.12617538033462153,0.3359321121316094,868.5129052965573
2,643.25,0.14305238025944408,0.16994227432623144,0.40052111156427533,1164.668872827523
3,765.8125,0.12259284461416849,0.14567713621186046,0.30122582745834,1375.986252353804
4,989.9583333333334,0.11029527245498286,0.13219334439533512,0.43059269446294235,1485.3899600217221
5,508.1875,0.1301382460245272,0.1496499224406917,0.31081332782170457,979.5856266809961
6,663.75,0.17565531846953603,0.18371538999604015,0.4525169325036432,986.0598359126083
7,1224.125,0.13113987155076934,0.18149700397398413,0.5287215059570098,1828.101930053865
8,622.7708333333334,0.11363574935168755,0.14096769472447837,0.34985552197446673,963.6123874947506
9,834.0833333333334,0.12930549063333652,0.15007400512695312,0.4686069183784206,1540.9967553502506
10,599.25,0.12233373595447075,0.14386781832066978,0.4897795721366354,1039.359257748093
11,753.7291666666666,0.12318155242175591,0.1312358088609649,0.3691661986916209,1019.0265371094775
12,799.1875,0.11607967934957365,0.13878417596584414,0.31768024028602365,1419.669679890361
14,631.0625,0.13424618651227252,0.15312462318234327,0.41559314851552775,1030.524057619876
15,739.875,0.12502086453321504,0.1440839418550817,0.37976031963169093,1385.3021331103191
16,952.1875,0.13500199666837367,0.1562799128090463,0.47169243943072336,1618.7180627480088
17,668.9791666666666,0.12635186823402964,0.1502788822825362,0.27796245527415586,1202.930726739214
18,618.3333333333334,0.09859045540414206,0.12150672586952768,0.3378042401039331,1232.789316955659
19,829.2291666666666,0.15114388814786586,0.1686982875917016,0.41947591668800566,1426.0044997591463
21,762.7291666666666,0.14268526216832603,0.1805549598321682,0.322256800486873,1385.5879618414704
23,573.1458333333334,0.11501116868926257,0.1377426822011064,0.2854178912768827,1124.9426652056538
24,1115.5625,0.1338954088164539,0.15514750596953603,0.37760494380024373,1836.85247094044
25,1218.1458333333333,0.14143555338789776,0.16013290823959722,0.37426285113199553,1663.6782541505233
26,879.0208333333334,0.1421502973975205,0.18635219480933213,0.35406049163344905,1647.2586317879777
27,1259.125,0.15139767018760122,0.1708284005886171,0.36064612633872667,2066.8188116039587
28,668.6041666666666,0.16209287178225634,0.19555477979706554,0.33045951352220815,1082.741351077594
29,1034.75,0.14769468074891626,0.1638332692588248,0.41131009118233197,1737.2595277236694
30,625.125,0.19278129717198814,0.1969420502825481,0.3498984826828968,860.479904859298
